,BES,HHO,CoSH
41,0.1384978446795655,8.21020581906633e-08,1.8972041810131785e-27
42,0.13676016788467923,4.1060326285673663e-08,1.4778551922532003e-27
43,0.13676016788467923,3.5738507548084684e-08,9.445759957371296e-29
44,0.13676016788467923,2.6148619394603493e-08,6.862242277251174e-29
45,0.13282360166809418,1.109222552225339e-08,9.145701696824253e-31
46,0.12222763331990641,1.0542673844445085e-08,3.5236830225681567e-31
47,0.11361801887068786,6.785310890298058e-09,9.359291664332991e-32
48,0.1051629002586577,4.756781964735094e-09,9.359291664332991e-32
49,0.10059670980503589,2.8072390202465206e-09,9.123451344097577e-33
50,0.095729051141152,1.6066378320532188e-09,2.473314914588435e-33
51,0.095729051141152,1.3888866253560941e-09,2.4289221015588906e-34
52,0.09503243455048584,8.745774020518401e-10,1.4560302638203858e-34
53,0.09175940142505327,6.535813145092328e-10,2.6439686744299464e-35
54,0.08936361292171238,2.578930017629103e-10,2.5784830840995328e-36
55,0.0865114501296585,2.5300994719487237e-10,1.5546470911562925e-36
56,0.0865114501296585,1.7853647987448343e-10,2.2867554094270687e-37
57,0.0865114501296585,1.1499763486903809e-10,9.82644641739723e-39
58,0.08412372875116793,6.787805280510985e-11,5.343076488273126e-40
59,0.08237976201540341,4.819903612365165e-11,2.6213868920147263e-40
60,0.08237976201540341,4.2442971151605753e-11,5.157788368146233e-41
61,0.08182865255689617,3.04550876054349e-11,1.7809964004718686e-41
62,0.0788598454234017,1.6332380149766185e-11,9.426108913259328e-43
63,0.07764081610437365,1.1264429194835476e-11,8.684087870146016e-44
64,0.07406020597975699,7.817711054938805e-12,1.5536754386561587e-44
65,0.07310847541837366,4.6356995109828965e-12,7.843000674806148e-45
66,0.07272724472742674,3.6193219891833492e-12,1.0718989144324788e-45
67,0.07139353668112484,2.1319078441823438e-12,6.443854217175933e-46
68,0.06406369326527536,1.6115599374406864e-12,2.2309366358881327e-47
69,0.06406369326527536,1.1512906399739536e-12,1.7086786359174604e-47
70,0.06406369326527536,7.095997874466216e-13,8.070403792865122e-48
71,0.062085628286986105,5.319341766026364e-13,4.1243292398567465e-51
72,0.06146276374963642,3.140048493188866e-13,3.447425430232454e-51
73,0.06007571794028697,2.3882433552610984e-13,3.278791032209486e-51
74,0.056166247877688494,1.6357009334710002e-13,5.04015507172044e-52
75,0.05394507207515873,1.1459634597379917e-13,2.6114161114116e-52
76,0.047094441509422005,6.89996114856745e-14,1.587746388073677e-52
